,TIC_ID
1173664,144200697
1173665,139258175
1173666,88247293
1173667,92141676
1173668,139225193
1173669,200644011
1173671,382375371
1173672,92142333
1173674,139875485
1173675,121424862
1173676,139299747
1173677,126702950
1173678,126944823
1173679,126762328
1173680,92222248
1173682,126890407
1173683,126702516
1173685,237339333
1173686,453097231
1173687,300709762
1173690,176981035
1173692,143980054
1173693,300384180
1173694,300291663
1173695,300654596
1173696,25132805
1173697,179124890
1173701,277015270
1173702,176953902
1173703,167309408
1173704,32050927
1173706,277717351
1173707,31265556
1173708,274033427
1173709,317350340
1173711,257772897
1173712,289938052
1173714,441161243
1173715,441159721
1173717,419589168
1173718,29393819
1173719,53781898
1173721,209394102
1173724,212345091
1173725,409137551
1173726,289934159
1173727,209372788
1173731,277717799
1173732,299755463
1173733,212255043
1173734,201292182
1173735,278724767
1173736,278724387
1173737,206488402
1173739,441187762
1173740,150275680
1173742,309618198
1173743,149976073
1173745,309618638
1173746,394581245
1173749,237321458
1173750,38635949
1173751,382635315
1173752,394047295
1173753,149449339
1173754,149120568
1173755,55523962
1173756,279834809
1173757,220556481
1173758,425907664
1173759,382583353
1173760,234517279
1173761,409856640
1173762,280801402
1173763,234518643
1173764,220575603
1173765,350142729
1173768,234494070
1173769,237310215
1173771,349096525
1173773,279647617
1173777,150299246
1173778,394045690
1173781,55602824
1173782,150321140
1173783,309476964
1173784,309256592
1173788,150437523
1173790,308663257
1173791,308749969
1173792,308752176
1173793,150068226
1173794,149973196
1173795,733027940
1173796,126803514
1173798,403285198
1173799,259787237
1173800,126917317
1173801,126917866
1173802,147164242
1173803,161304571
1173804,382451727
1173805,139468037
1173807,382464110
1173808,89018586
1173810,139198097
1173812,406277435
1173813,139362978
1173814,71272994
1173815,147407143
1173816,71317263
1173817,382373280
1173818,92196729
1173819,139091843
1173820,403134224
1173821,147421604
1173822,147384395
1173824,139765575
1173825,407616488
1173826,141212107
1173827,183302062
1173828,141683958
1173830,238180822
1173834,141211326
1173836,407615866
1173837,394230466
1173839,280095693
1173841,615106108
1173842,182293499
1173844,183306205
1173846,469880408
1173847,265529741
1173848,219140469
1173849,355637215
1173853,355585976
1173857,394494433
1173858,197980305
1173859,393979007
